,QA,ANS,TAG
4807,what movies was [John Greyson] the writer of,The Law of Enclosures,written_by_inv
4808,what is a film written by [Antoine Blondin],A Monkey in Winter,written_by_inv
4809,what movies was [Cid Ricketts Sumner] the writer of,Pinky|Tammy and the Bachelor,written_by_inv
4810,what movies did [Edward Barry Roberts] write,Forsaking All Others,written_by_inv
4811,what is a film written by [Jason Todd Ipson],Everybody Wants to Be Italian,written_by_inv
4812,which movies was [Mona Achache] a writer on,The Hedgehog,written_by_inv
4813,what films was [Patrick Read Johnson] a writer on,Spaced Invaders,written_by_inv
4814,which movies was [Eric Valli] a writer on,Himalaya,written_by_inv
4815,what film did [Rospo Pallenberg] write,The Emerald Forest,written_by_inv
4816,what is a movie written by [Brian Miller],Apollo 18,written_by_inv
4817,what films was [Witi Ihimaera] a writer on,Whale Rider|Kawa,written_by_inv
4818,which film did [Charlotte Armstrong] write the story for,Don't Bother to Knock|The Unsuspected|The Breach,written_by_inv
4819,which film did [David Bruckner] write,V/H/S|The Signal,written_by_inv
4820,what film did [David Forrest] write,One of Our Dinosaurs Is Missing,written_by_inv
4821,which movie did [Paul Harrison] write,The House of Seven Corpses,written_by_inv
4822,which film did [Robert J. Donovan] write,PT 109,written_by_inv
4823,which movies was [Alexander Pushkin] the writer of,Onegin|The Queen of Spades,written_by_inv
4824,what is a film written by [Ellyn Bache],Safe Passage,written_by_inv
4825,which film did [Piero Tellini] write the story for,A Walk in the Clouds,written_by_inv
4826,what is a movie written by [Deborah Kampmeier],Hounddog,written_by_inv
4827,which movie did [Ariel Vromen] write,The Iceman,written_by_inv
4828,what movies did [Jim Thomas] write,Mission to Mars,written_by_inv
4829,what films did [John Pielmeier] write,Agnes of God|Sybil,written_by_inv
4830,which movies was [Philip G. Epstein] the writer of,Casablanca|Arsenic and Old Lace|The Man Who Came to Dinner|The Last Time I Saw Paris|The Bride Came C.O.D.|The Brothers Karamazov,written_by_inv
4831,what movie did [Sajid Khan] write the story for,Housefull 2,written_by_inv
4832,which film did [Charlyne Yi] write the story for,Paper Heart,written_by_inv
4833,what films did [Audie Murphy] write,To Hell and Back,written_by_inv
4834,what movies did [William Robertson] write,The Little Rascals Save the Day,written_by_inv
4835,what movies did [Peter Gent] write,North Dallas Forty,written_by_inv
4836,what is a film written by [Norm MacDonald],Dirty Work,written_by_inv
4837,what movies was [Peter Fonda] the writer of,Easy Rider,written_by_inv
4838,what films was [Erich Maria Remarque] a writer on,All Quiet on the Western Front|Bobby Deerfield|A Time to Love and a Time to Die|Three Comrades|Arch of Triumph,written_by_inv
4839,what is a film written by [T.D. Jakes],Woman Thou Art Loosed,written_by_inv
4840,what movies was [Özgür Yildirim] the writer of,Blutzbrüdaz,written_by_inv
4841,what film did [Rob Hardy] write,The Gospel|Trois,written_by_inv
4842,what movies did [Masanori Hata] write,The Adventures of Milo and Otis,written_by_inv
4843,which movies was [Ramona Stewart] the writer of,The Possession of Joel Delaney,written_by_inv
4844,what films was [Harley Peyton] a writer on,Heaven's Prisoners,written_by_inv
4845,what film did [Georges Arnaud] write,The Wages of Fear,written_by_inv
4846,what movies was [Annie Proulx] the writer of,Brokeback Mountain|The Shipping News,written_by_inv
4847,which movie did [Paul Guay] write,Liar Liar|Heartbreakers|The Little Rascals,written_by_inv
4848,what film did [Al Capp] write,Li'l Abner,written_by_inv
4849,which film did [John Nickle] write the story for,The Ant Bully,written_by_inv
4850,what film did [Terrance Zdunich] write,Repo! The Genetic Opera|The Devil's Carnival,written_by_inv
4851,what movie did [Donald A. Wollheim] write the story for,Mimic|Mimic 2,written_by_inv
4852,what is a movie written by [Lynn Varley],300,written_by_inv
4853,what movies was [Patricia MacLachlan] the writer of,"Sarah, Plain and Tall",written_by_inv
4854,which movies was [Phillip Montgomery] the writer of,ReGeneration,written_by_inv
4855,which movies was [Ernst Lothar] the writer of,The Clairvoyant,written_by_inv
4856,which movie did [Donald P. Borchers] write,Children of the Corn,written_by_inv
4857,what movie did [Babak Payami] write the story for,Secret Ballot,written_by_inv
4858,what is a film written by [Harry Hervey],Shanghai Express|Road to Singapore,written_by_inv
4859,what films did [Jeremy Lovering] write,In Fear,written_by_inv
4860,what films was [Vera M. Oldham] a writer on,Chandu the Magician,written_by_inv
4861,what is a movie written by [Jeffrey Fine],Cherry,written_by_inv
4862,what movies was [Mark Kennedy] the writer of,Chicken Little,written_by_inv
4863,which film did [George Wells] write,Designing Woman|Where the Boys Are|Three Little Words,written_by_inv
4864,which movies was [Brian Petsos] the writer of,Revenge for Jolly!,written_by_inv
4865,which movie did [Gordon Wellesley] write,Night Train to Munich,written_by_inv
4866,what films did [Christopher Gambale] write,Deuces Wild,written_by_inv
4867,which film did [Nicholas McCarthy] write,The Pact|At the Devil's Door,written_by_inv
4868,what is a movie written by [Louis Gardel],Indochine,written_by_inv
4869,which film did [Bill MacIlwraith] write,The Anniversary,written_by_inv
4870,what movies did [Chaim Potok] write,The Chosen,written_by_inv
4871,which movies was [Kate Lanier] a writer on,What's Love Got to Do with It|Set It Off,written_by_inv
4872,which movie did [Esteban Student] write,Chronicle of an Escape,written_by_inv
4873,which movie did [Krzysztof Piesiewicz] write,A Short Film About Love|A Short Film About Killing|Hell,written_by_inv
4874,what movies was [William Gay] the writer of,That Evening Sun,written_by_inv
4875,what films did [Gene Allen] write,The Chapman Report,written_by_inv
4876,which movie did [Mike Nichols] write,Wit,written_by_inv
4877,which film did [David Berry] write the story for,The Whales of August,written_by_inv
4878,which movies was [Patrick Hasburgh] a writer on,21 Jump Street,written_by_inv
4879,which movie did [Robby Benson] write,One on One,written_by_inv
4880,what movies did [Robin Maugham] write,The Servant,written_by_inv
4881,what films was [Louis D. Lighton] a writer on,Wings,written_by_inv
4882,which movies was [Roberto Gavaldón] a writer on,Macario,written_by_inv
4883,what movies did [Matt Dillon] write,City of Ghosts,written_by_inv
4884,what movies was [Ladislav Grosman] the writer of,The Shop on Main Street,written_by_inv
4885,what movies was [Irving Stone] the writer of,Lust for Life|The Agony and the Ecstasy|The President's Lady,written_by_inv
4886,what is a movie written by [Joe Hill],Horns,written_by_inv
4887,which movies was [Daniel Chuba] a writer on,Supernova,written_by_inv
4888,what movies was [Paul Theroux] the writer of,The Mosquito Coast|Chinese Box|Half Moon Street|Saint Jack,written_by_inv
4889,what film did [John Drimmer] write,Iceman,written_by_inv
4890,which movie did [Max Lang] write,The Gruffalo,written_by_inv
4891,which film did [Marietta von Hausswolff von Baumgarten] write,Call Girl,written_by_inv
4892,what films did [Norman Maclean] write,A River Runs Through It,written_by_inv
4893,what movies did [Paul Cotter] write,Bomber,written_by_inv
4894,what movie did [Liz Tuccillo] write the story for,He's Just Not That Into You,written_by_inv
4895,what is a film written by [Peter Bergman],Americathon,written_by_inv
4896,which film did [Brian Nelson] write the story for,Hard Candy|Devil,written_by_inv
4897,which movies was [William Diehl] a writer on,Primal Fear|Sharky's Machine,written_by_inv
4898,what films was [Nikolaj Frobenius] a writer on,Insomnia,written_by_inv
4899,what is a movie written by [Joe Gannon],Solar Crisis,written_by_inv
4900,which movies was [Sean Astin] a writer on,The Long and Short of It,written_by_inv
4901,what film did [James Twyman] write,Redwood Highway,written_by_inv
4902,what is a film written by [Geoff Murphy],Goodbye Pork Pie,written_by_inv
4903,what movie did [John Aboud] write the story for,Penguins of Madagascar,written_by_inv
4904,what movies did [Kristine Johnson] write,I Am Sam,written_by_inv
4905,which movies was [Adam Rodgers] the writer of,At Middleton,written_by_inv
4906,what movies did [Ni Zhen] write,Raise the Red Lantern,written_by_inv
4907,which movies was [Jordan Downey] the writer of,ThanksKilling,written_by_inv
4908,what is a movie written by [Paul Reiser],The Thing About My Folks,written_by_inv
4909,what movies did [Mark Obmascik] write,The Big Year,written_by_inv
4910,what films was [Gabriel Walsh] a writer on,Quackser Fortune Has a Cousin in the Bronx,written_by_inv
4911,which film did [Richard Sale] write the story for,Suddenly|Strange Cargo|The Oscar|Mr. Belvedere Goes to College,written_by_inv
4912,what films did [April Stevens] write,Crazy Kind of Love,written_by_inv
4913,which movie did [Joshua Goldin] write,Wonderful World,written_by_inv
4914,which movies was [Michael Addis] the writer of,Poor White Trash,written_by_inv
4915,which movies was [John Cusack] the writer of,"High Fidelity|Grosse Pointe Blank|War, Inc.|Floundering",written_by_inv
4916,which film did [Giulio Macchi] write,The Golden Coach,written_by_inv
4917,which film did [Fernley Phillips] write,The Number 23,written_by_inv
4918,what is a film written by [Terry Swinton],The Hurricane,written_by_inv
4919,what films was [Jeffrey Hatcher] a writer on,Stage Beauty,written_by_inv
4920,which film did [Joel Viertel] write the story for,Devil's Pond,written_by_inv
4921,what movies did [Arthur Conan Doyle] write,Sherlock Holmes|Young Sherlock Holmes|The Hound of the Baskervilles|Sherlock Holmes and the Secret Weapon|Terror by Night|The Woman in Green|Sherlock Holmes Faces Death|Sherlock Holmes and the Voice of Terror|Sherlock Holmes in Washington|A Study in Scarlet|The Sign of Four,written_by_inv
4922,what is a film written by [Harry Bates],The Day the Earth Stood Still,written_by_inv
4923,what film did [Sarah Koskoff] write,Hello I Must Be Going,written_by_inv
4924,which movies was [R.A. The Rugged Man] the writer of,Bad Biology,written_by_inv
4925,what movies was [Neil Mandt] the writer of,Last Stop for Paul,written_by_inv
4926,what is a film written by [Jonathan Raymond],Night Moves|Old Joy,written_by_inv
4927,which film did [Alison Ellwood] write the story for,Magic Trip,written_by_inv
4928,what is a film written by [Raymond De Felitta],City Island|Two Family House,written_by_inv
4929,what movies did [Paul Webb] write,Selma,written_by_inv
4930,what is a film written by [William Roberts],The Bridge at Remagen|10 to Midnight|Posse|The Mating Game,written_by_inv
4931,what movies was [Jonathan Parker] the writer of,(Untitled)|Bartleby,written_by_inv
4932,what movie did [Tom Wheeler] write the story for,Puss in Boots,written_by_inv
4933,what films did [Rich Christiano] write,Time Changer|The Secrets of Jonathan Sperry,written_by_inv
4934,what movies was [Simon Pegg] the writer of,Shaun of the Dead|Hot Fuzz|Paul|The World's End,written_by_inv
4935,what movies did [Laurence Fishburne] write,Once in the Life,written_by_inv
4936,what films was [Jan Henrik Stahlberg] a writer on,Muxmäuschenstill,written_by_inv
4937,what movies did [Ede Tarbay] write,The Little Fox,written_by_inv
4938,what movies did [Rosanna Arquette] write,Searching for Debra Winger,written_by_inv
4939,what movies did [Gwen Davenport] write,Sitting Pretty|Mr. Belvedere Goes to College,written_by_inv
4940,which movies was [René Goscinny] the writer of,Asterix at the Olympic Games|The Twelve Tasks of Asterix|Asterix and the Vikings|Asterix and Cleopatra|Asterix the Gaul|Asterix and the Big Fight,written_by_inv
4941,what movies did [Milan Trenc] write,Night at the Museum,written_by_inv
4942,which movie did [Damien Dante Wayans] write,Dance Flick,written_by_inv
4943,what films did [Pete Townshend] write,Tommy,written_by_inv
4944,what films was [Avi Nesher] a writer on,The Secrets|Turn Left at the End of the World,written_by_inv
4945,what films did [Karl Mueller] write,The Divide|Mr. Jones,written_by_inv
4946,which movies was [Alex Chandon] the writer of,Cradle of Fear|Bad Karma,written_by_inv
4947,what movie did [Laura Wade] write the story for,The Riot Club,written_by_inv
4948,what movies was [Rupert Wyatt] the writer of,The Escapist,written_by_inv
4949,what movies was [Saul Williams] the writer of,Slam,written_by_inv
4950,which film did [Robert L. Fish] write,Bullitt,written_by_inv
4951,what is a movie written by [Donald Henderson Clarke],Female|Millie|Born Reckless,written_by_inv
4952,which movies was [Jennifer Kent] a writer on,The Babadook,written_by_inv
4953,what is a film written by [Brian De Palma],"Snake Eyes|Femme Fatale|Blow Out|Dressed to Kill|Body Double|Passion|Phantom of the Paradise|Sisters|Raising Cain|Redacted|Obsession|Hi, Mom!|Greetings|The Wedding Party",written_by_inv
4954,what movie did [Brian Taggert] write the story for,Visiting Hours|Of Unknown Origin,written_by_inv
4955,what is a film written by [Andrew Adamson],Shrek 2|Mr. Pip,written_by_inv
4956,what movie did [Harry Behn] write the story for,Hell's Angels,written_by_inv
4957,which movies was [Edward Poor Montgomery] a writer on,Double Harness,written_by_inv
4958,what is a movie written by [John Lafia],Child's Play|Man's Best Friend,written_by_inv
4959,what film did [John Kohn] write,The Collector|Shanghai Surprise|Goldengirl,written_by_inv
4960,what film did [Shane Carruth] write,Primer|Upstream Color,written_by_inv
4961,what films was [Rúnar Rúnarsson] a writer on,Volcano|The Last Farm,written_by_inv
4962,what movies did [Ivan Engler] write,Cargo,written_by_inv
4963,what is a movie written by [Mikel Conrad],The Flying Saucer,written_by_inv
4964,what movie did [Mick Garris] write the story for,Riding the Bullet|Quicksilver Highway,written_by_inv
4965,which movies was [Harry Ruby] the writer of,Duck Soup,written_by_inv
4966,what is a movie written by [David Levien],Ocean's Thirteen|Runner Runner,written_by_inv
4967,which movie did [Cornelius Ryan] write,The Longest Day|A Bridge Too Far,written_by_inv
4968,what films did [Justin Simien] write,Dear White People,written_by_inv
